customer_id,first_name,last_name,email,address,city,country,rental_id,rental_date,return_date,rental_duration,payment_id,amount,payment_date,payment_month,customer_full_name
130,charlotte,hunter,charlotte.hunter@sakilacustomer.org,758 junan lane,águas lindas de goiás,brazil,1,2005-05-24 22:53:30,2005-05-26 22:04:30,2,3504,2.99,2005-05-24 22:53:30,2005-05,charlotte hunter
459,tommy,collazo,tommy.collazo@sakilacustomer.org,76 kermanshah manor,qomsheh,iran,2,2005-05-24 22:54:33,2005-05-28 19:40:33,4,12377,2.99,2005-05-24 22:54:33,2005-05,tommy collazo
408,manuel,murrell,manuel.murrell@sakilacustomer.org,692 amroha drive,jaffna,sri lanka,3,2005-05-24 23:03:39,2005-06-01 22:12:39,8,11032,3.99,2005-05-24 23:03:39,2005-05,manuel murrell
333,andrew,purdy,andrew.purdy@sakilacustomer.org,431 szkesfehrvr avenue,baku,azerbaijan,4,2005-05-24 23:04:41,2005-06-03 01:43:41,10,8987,4.99,2005-05-24 23:04:41,2005-05,andrew purdy
222,delores,hansen,delores.hansen@sakilacustomer.org,810 palghat (palakkad) boulevard,jaroslavl,russian federation,5,2005-05-24 23:05:21,2005-06-02 04:33:21,9,6003,6.99,2005-05-24 23:05:21,2005-05,delores hansen
549,nelson,christenson,nelson.christenson@sakilacustomer.org,1764 jalib al-shuyukh parkway,santiago de compostela,spain,6,2005-05-24 23:08:07,2005-05-27 01:32:07,3,14728,0.99,2005-05-24 23:08:07,2005-05,nelson christenson
269,cassandra,walters,cassandra.walters@sakilacustomer.org,920 kumbakonam loop,salinas,united states,7,2005-05-24 23:11:53,2005-05-29 20:34:53,5,7274,1.99,2005-05-24 23:11:53,2005-05,cassandra walters
239,minnie,romero,minnie.romero@sakilacustomer.org,47 syktyvkar lane,ciomas,indonesia,8,2005-05-24 23:31:46,2005-05-27 23:33:46,3,6440,4.99,2005-05-24 23:31:46,2005-05,minnie romero
126,ellen,simpson,ellen.simpson@sakilacustomer.org,1666 qomsheh drive,poá,brazil,9,2005-05-25 00:00:40,2005-05-28 00:22:40,3,3386,4.99,2005-05-25 00:00:40,2005-05,ellen simpson
399,danny,isom,danny.isom@sakilacustomer.org,734 bchar place,okara,pakistan,10,2005-05-25 00:02:21,2005-05-31 22:44:21,6,10785,5.99,2005-05-25 00:02:21,2005-05,danny isom
